First Name,Last Name,Draft Year,Years of Service
Elvin,Hayes,0,16
Lamar,Patterson,2014,1
Shellie,McMillon,0,4
Wenyen,Gabriel,2018,1
Solomon,Alabi,2010,2
Stephen,Jackson,1997,14
Jordan,Hamilton,2011,4
Jason,Hart,2000,9
Bob,McAdoo,0,14
Jack,Sikma,0,14
Dave,Minor,0,2
Don,Chaney,0,11
Nate,Bowman,0,5
Kelvin,Upshaw,0,3
DeMarco,Johnson,1998,0
Darryl,Johnson,1987,1
Justin,Robinson,2019,1
Brad,Branson,0,2
Bill,Tosheff,0,3
Stacey,King,1989,8
William,Bedford,0,6
Shaler,Halimon,0,4
Earl,Williams,0,4
Jack,Eskridge,0,1
Damon,Stoudamire,1995,13
Lowes,Moore,0,3
Cedric,Maxwell,0,11
Rick,Hughes,0,0
Jimmy,King,1995,2
Joe,Ingles,2009,5
Michael,Anderson,0,1
Alonzo,Bradley,0,3
Rafer,Alston,1998,11
Luke,Witte,0,3
Chuck,Halbert,0,5
Joe,Chealey,2018,2
Donta,Hall,2019,1
Ed,Melvin,0,1
Roy,Hurley,0,1
Corny,Thompson,0,1
Anthony,Miller,1994,8
Antoine,Carr,1983,16
Jamison,Brewer,2001,4
Flip,Murray,2002,8
Kevin,Ollie,0,13
Jim,Neal,0,2
Dan,Majerle,1988,14
Elton,Brand,1999,16
Ming,Yao,2002,8
Claude,Gregory,0,2
Alan,Sawyer,0,1
Stanley,Jackson,0,1
Clarence,Glover,0,1
George,Zidek,1995,3
Kelly,Tripucka,0,10
Andre,Miller,1999,16
M.L.,Carr,0,9
Drazen,Petrovic,0,4
Dontell,Jefferson,2006,1
Jaron,Blossomgame,2017,1
Jabari,Brown,2014,1
Wilbur,Holland,0,4
Ryan,Bowen,1998,10
Melvin,Newbern,0,1
Nick,Anderson,1989,13
Anthony,Johnson,1997,13
Dave,Zeller,0,1
Leon,Wood,0,6
Corey,Brewer,2007,11
Plummer,Lott,0,2
Charles,Jenkins,2011,2
Othell,Wilson,0,2
Ed,Dahler,0,1
Marial,Shayok,2019,1
Mike,Barr,0,1
Jerome,Henderson,0,2
Darius,Johnson-Odom,2012,2
Larry,Steele,0,9
Carsen,Edwards,2019,1
Alan,Anderson,2005,7
Victor,Claver,2009,3
Chris,Copeland,2006,3
Alexander,Johnson,2006,2
Wayne,Yates,0,1
Stanley,Johnson,2015,4
Patrick,Christopher,2010,1
Leon,Powe,2006,5
Brian,Skinner,1998,14
Irv,Bemoras,0,2
Tim,Ohlbrecht,2010,1
Kenny,Satterfield,2001,2
Bobby,Lewis,0,4
Gene,Stump,0,3
Terrance,Roberson,0,0
Ollie,Mack,0,3
Mike,Evans,0,9
Don,Martin,0,3
Gary,Gregor,0,5
Lester,Hudson,2009,4
Toure',Murry,2012,2
Ricky,Davis,1998,12
Howard,Carter,0,2
Connie,Simmons,0,10
Allan,Bristow,0,9
Kenny,Natt,0,3
Al,Negratti,0,1
Tate,Armstrong,0,2
Boban,Marjanovic,2010,4
Ben,Scharnus,0,2
Joel,Embiid,2014,4
Wiley,Peck,0,1
Otis,Howard,0,1
Andrew,Lang,1988,12
Eddie,Griffin,2001,5
Kwame,Brown,2001,12
Dave,Wohl,0,7
Naz,Mitrou-Long,2017,3
John,Starks,0,13
Matt,Bullard,0,11
Julian,Washburn,2015,1
Gus,Johnson,0,10
Otis,Thorpe,1984,17
John,Brown,0,7
Zach,LaVine,2014,5
David,Andersen,2002,2
George,Glamack,0,1
Cheick,Diallo,2016,4
Guy,Williams,0,2
Adrian,Branch,0,4
Arthur,Williams,0,7
